Epoch,Loss
0,4.95846285165964
1,1.221254440898773
2,0.8106151334155427
3,0.5325363600106161
4,0.4994278157401409
5,0.4805132712554159
6,0.45605144160500893
7,0.43477888375703094
8,0.4083616711658553
9,0.38357173558333857
10,0.3578681285596247
11,0.3356575991597128
12,0.31605474973954584
13,0.3003129143431882
14,0.2818560566873004
15,0.26537090498848026
16,0.25345786315043545
17,0.20518775146834656
18,0.18328914398533042
19,0.1737241303711308
20,0.17003751505165862
21,0.16109861123327932
22,0.16404625375989526
23,0.16976562791677502
24,0.16369722343668053
25,0.1760366675273644
26,0.15047534075955538
27,0.15143936981499231
28,0.14371613506940767
29,0.15635428673495239
30,0.14555054141445828
31,0.14721929489425623
32,0.14110078341270105
33,0.14985788833620403
34,0.1405302547100016
35,0.14190713389383347
36,0.13950344912566257
37,0.13411339899643324
38,0.1615364181940926
39,0.14576754050661386
40,0.14703365305556754
41,0.1402032396141711
42,0.24952007821024158
43,0.5971308626204623
44,0.14062394218087287
45,0.1443395777617962
46,0.1543279299416959
47,0.2186665432657714
48,0.27147548953185685
