Epoch,Loss
0,0.5410612153232489
1,0.2625331485645603
2,0.24915762459932236
3,0.2404805256019515
4,0.29893277940393204
5,0.20371959277114765
6,0.24164186549251684
7,0.19209185738905968
8,0.19124882804123688
9,0.18262283243954638
10,0.17568344673144623
11,0.18421357575788094
12,0.19805373358137154
13,0.5130303550913824
14,0.2090243089599428
15,0.17518023563505256
16,0.1546432958956242
17,0.15041126120009685
18,0.14549761998331567
19,0.14873189773634882
20,0.1423064110422448
21,0.1501831797026055
22,0.14611918912985009
23,0.14475081936495235
24,0.14068294056359043
25,0.12653198121791653
26,0.19906915463792238
27,0.18657987937765225
28,0.122053333005802
29,0.16002960616260814
30,0.1621350955885847
31,0.1293245000430017
32,0.13715232546864134
33,0.12833416818996476
34,0.1693485920992966
35,0.2493216025153326
36,0.15270613705641484
37,0.11919128728750578
38,0.1287507942846286
39,0.13605910925041897
40,0.15726636942684494
41,0.13473655471528034
42,0.12944971599084631
43,0.12324150084719426
44,0.1350437220819841
45,0.12026374231862105
46,0.15737368916017866
47,0.1155890224396346
48,0.11471997399339198
49,0.12021371967852675
50,0.11173951305731089
51,0.12793364998050538
52,0.14066763435151122
53,0.1069979987235736
54,0.1073568724489835
55,0.12404669502749717
56,0.11942541342239554
57,0.1140151591276104
58,0.1613036190621174
59,0.183235092040455
60,0.10639196551362978
61,0.1313538625744678
62,0.11948516783382673
63,0.1027549610767995
64,0.12374276779212616
65,0.10415089760390739
66,0.10964227855988623
67,0.10631220764740036
68,0.10628202369131776
69,0.11280470509600368
70,0.11048163879701389
71,0.15698740302782227
72,0.1574058475946926
73,0.13760471101482924
74,0.10250609312349238
75,0.11457424969765098
76,0.1145009910023276
77,0.1022057715937327
78,0.1035361973893472
79,0.10630675111025031
80,0.12073252825670101
81,0.11102335337713594
82,0.16665390516598727
83,0.12383263897432922
84,0.10491883482042251
85,0.10152148687565063
86,0.142994304672381
87,0.09915220140295775
88,0.09860767134761123
89,0.09694271012295308
90,0.0948579033680492
91,0.10421973688627743
92,0.11577795316125225
93,0.10755063631063745
94,0.10528362860979523
95,0.11131202434089428
96,0.12697739049629297
97,0.10649978508927813
98,0.09860398608846899
99,0.12294460732344036
100,0.1043442189224494
101,0.09443379539344016
102,0.09813879910208563
103,0.11941985087573335
104,0.09731685560564582
105,0.09469645092977375
106,0.11411859797515346
107,0.13842434660058234
108,0.38864347448866743
109,0.5638195640747216
110,0.1343488301074122
111,0.10779900251461559
112,0.11129454018892898
